accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
0,0,0.0,0,8,38.1,6,5,11,45.83,0,0.0,0,1,0,0,0,0,,0,0,0,1,2,1,1,0,0,0,1,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,,0,0.0,0,0,0,13,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,14,0,1,7.6,0,0,0,3,1,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,1,0,0,0.0,21,17,7,24,7.6,0,0,38,0,0,0,Arda Akbulut,Trabzonspor,892937,3051,turkey,2122
9,3,27.27,82,6,54.55,144,71,212,76.26,15,32.61,31,14,4,0,0,0,,3,7,4,1,9,14,0,0,15,8,85,1,0,,,19,0,25.53,,12,16,19,18,1,11,1,,58,51.79,4,0,0,66,3,16,3,11,1062,10,,0,0,0,0,0.0,0,0,0,1,138,14,0,7.57,0,5,0,0,0,0,0,0,88.5,0.0,0,44,3,20,23,19,55.88,0,18,11,61.11,16,18,34,11,73,46.2,11,212,77,278,106.0,47,5,502,21,2,0,Jackson Muleka,Kasımpaşa,927649,6063,turkey,2122
1,0,0.0,0,4,50.0,4,9,13,76.47,1,100.0,0,1,0,0,0,0,,0,0,0,1,2,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,,0,0.0,0,0,0,4,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,4,0,1,7.5,0,0,0,1,2,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,8,7,10,17,7.5,0,0,29,0,0,0,Erten Ersu,Konyaspor,188265,3085,turkey,2122
64,62,33.16,474,90,61.64,764,288,990,74.89,4,28.57,10,36,12,0,0,0,,18,3,28,5,11,36,0,0,17,50,132,0,0,,,22,0,10.34,,9,21,35,30,5,7,2,,108,46.96,0,0,0,332,23,111,4,33,2962,4,,0,0,1,0,100.0,0,1,0,1,591,24,0,7.49,0,5,0,0,0,0,0,0,329.11,0.0,2,51,36,28,31,44,55.0,0,43,21,48.84,111,120,80,187,112,45.9,146,1159,350,1322,269.8,87,8,1986,21,3,0,Edin Višća,Trabzonspor,109779,3051,turkey,2122
92,72,33.33,385,103,66.45,691,335,954,81.33,6,35.29,11,31,7,0,0,0,,9,1,16,3,4,31,0,0,34,31,136,0,0,,,26,0,26.92,,14,21,45,39,6,14,0,,112,47.26,1,0,1,219,9,92,1,28,2494,5,,0,2,8,0,100.0,0,8,0,0,506,19,0,7.49,0,11,0,0,0,0,0,0,178.14,0.0,3,31,21,14,22,49,59.04,0,32,19,59.38,90,149,83,216,118,46.46,155,1011,378,1173,232.3,52,6,1810,31,7,0,Alexandru Maxim,Gaziantep FK,180511,5138,turkey,2122
21,8,25.81,91,21,61.76,183,188,363,87.68,3,27.27,8,11,3,0,0,0,,2,2,5,1,23,11,0,0,11,20,71,0,0,,,18,1,27.27,,3,6,19,16,3,1,2,,109,63.37,0,0,0,51,22,10,0,10,890,0,,0,0,0,0,0.0,0,0,0,0,129,10,0,7.46,0,3,0,0,0,0,0,0,296.67,100.0,1,3,8,1,5,23,62.16,0,35,19,54.29,10,32,37,31,112,61.2,34,245,200,414,82.1,11,2,712,51,4,0,Gedson Fernandes,Çaykur Rizespor,862055,3064,turkey,2122
113,20,26.67,166,129,63.24,387,580,947,84.55,7,50.0,7,17,4,0,0,0,,4,1,3,6,9,17,0,0,7,25,63,0,1,,,15,1,20.0,,4,8,13,11,2,1,3,,51,47.66,0,0,1,173,23,28,0,16,1448,0,,0,1,0,0,0.0,0,0,0,0,266,9,0,7.41,0,3,0,0,0,0,0,0,362.0,12.5,8,2,18,9,8,11,55.0,0,24,14,58.33,27,173,20,75,58,47.93,204,560,635,1120,126.0,20,3,1395,16,4,0,Fernando,Antalyaspor,123354,3056,turkey,2122
77,62,27.43,461,53,48.62,829,337,1104,77.86,15,31.25,33,35,7,0,0,0,,19,2,22,3,10,35,0,0,54,56,223,0,0,,,41,0,5.88,,4,11,33,29,4,2,2,,202,51.53,1,0,5,314,28,88,3,33,2800,2,,0,1,1,0,100.0,0,1,0,1,691,28,0,7.41,0,0,0,0,0,0,0,0,700.0,0.0,14,25,43,19,27,75,63.56,0,72,44,61.11,87,152,118,226,217,49.32,109,1247,397,1418,259.3,68,6,2306,55,8,0,Rachid Ghezzal,Beşiktaş JK,123228,3050,turkey,2122
2,0,0.0,0,5,29.41,0,26,26,68.42,0,0.0,0,1,0,0,0,0,,0,0,0,1,2,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,,0,0.0,0,0,0,12,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,12,0,2,7.4,0,0,0,1,2,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,10,0,0,0,0.0,17,4,34,38,7.4,0,0,51,0,0,0,Diogo Sousa,Antalyaspor,882110,3056,turkey,2122
66,11,22.0,350,50,56.82,607,316,912,80.78,25,53.19,22,30,10,0,0,0,,15,10,17,5,24,30,0,0,47,21,156,0,0,,,16,0,15.48,,13,23,23,22,1,12,1,,115,46.18,2,0,3,217,13,53,0,27,2266,6,,0,0,2,1,100.0,0,2,0,0,436,24,0,7.38,0,11,0,0,0,0,0,0,174.31,0.0,1,55,29,30,37,71,58.2,0,28,20,71.43,53,112,122,50,140,47.3,88,842,337,1129,221.3,84,7,1712,16,3,0,Anthony Nwakaeme,Trabzonspor,139455,3051,turkey,2122
